rfid_id,status,package_id,tq_date
RFID1,READY-FOR-BIN-ALLOCATION,PACK61829,2025-06-01T00:00:00.000000
RFID2,READY-FOR-BIN-ALLOCATION,PACK61829,2025-06-01T00:00:00.000000
RFID3,READY-FOR-BIN-ALLOCATION,PACK88355,2025-06-01T00:00:00.000000
RFID4,READY-FOR-BIN-ALLOCATION,PACK88355,2025-06-01T00:00:00.000000
RFID5,READY-FOR-BIN-ALLOCATION,PACK88355,2025-06-01T00:00:00.000000
RFID6,READY-FOR-BIN-ALLOCATION,PACK62599,2025-06-01T00:00:00.000000
RFID7,READY-FOR-BIN-ALLOCATION,PACK47338,2025-06-01T00:00:00.000000
RFID8,READY-FOR-BIN-ALLOCATION,PACK47338,2025-06-01T00:00:00.000000
RFID9,READY-FOR-BIN-ALLOCATION,PACK47338,2025-06-01T00:00:00.000000
1724,,1398,2025-07-02T22:11:57
1725,,1398,2025-07-02T22:11:57
1726,,1398,2025-07-02T22:11:57
1727,,1398,2025-07-02T22:11:57
1728,,1398,2025-07-02T22:11:57
2190,,1704,2025-07-02T22:19:21
2191,,1704,2025-07-02T22:19:21
2192,,1704,2025-07-02T22:19:21
2201,,1731,2025-07-02T22:19:13
2202,,1414,2025-07-02T22:20:42
2203,,1414,2025-07-02T22:20:42
2204,,1414,2025-07-02T22:20:42
2205,,1414,2025-07-02T22:20:42
2206,,1414,2025-07-02T22:20:42
2207,,1414,2025-07-02T22:20:42
2208,,1414,2025-07-02T22:20:42
2209,,1414,2025-07-02T22:20:42
2210,,1414,2025-07-02T22:20:42
2211,,1414,2025-07-02T22:20:42
2212,,1414,2025-07-02T22:20:42
2213,,1414,2025-07-02T22:20:42
2214,,1415,2025-07-02T22:20:35
2215,,1415,2025-07-02T22:20:35
2216,,1415,2025-07-02T22:20:35
2217,,1415,2025-07-02T22:20:35
2218,,1415,2025-07-02T22:20:35
2219,,1415,2025-07-02T22:20:35
2220,,1415,2025-07-02T22:20:35
2221,,1415,2025-07-02T22:20:35
2222,,1415,2025-07-02T22:20:35
2225,,2189,2025-07-02T22:22:41
2230,,2183,2025-07-02T22:22:19
2231,,2183,2025-07-02T22:22:19
2232,,1730,2025-07-02T22:23:21
2233,,1730,2025-07-02T22:23:21
2234,,1730,2025-07-02T22:23:21
2235,,1730,2025-07-02T22:23:21
2236,,1730,2025-07-02T22:23:21
2237,,1730,2025-07-02T22:23:21
2238,,1730,2025-07-02T22:23:21
2239,,1730,2025-07-02T22:23:21
2240,,1730,2025-07-02T22:23:21
2241,,1730,2025-07-02T22:23:21
2242,,1730,2025-07-02T22:23:21
2243,,1730,2025-07-02T22:23:21
2244,,1402,2025-07-02T22:23:08
2245,,1402,2025-07-02T22:23:08
2246,,1402,2025-07-02T22:23:08
2247,,1402,2025-07-02T22:23:08
2248,,1402,2025-07-02T22:23:08
2249,,1402,2025-07-02T22:23:08
2250,,1402,2025-07-02T22:23:08
2251,,1402,2025-07-02T22:23:08
2252,,1402,2025-07-02T22:23:08
2253,,1402,2025-07-02T22:23:08
2254,,1402,2025-07-02T22:23:08
2255,,2196,2025-07-02T22:25:08
2256,,2196,2025-07-02T22:25:08
2262,,1703,2025-07-02T22:27:01
2263,,1703,2025-07-02T22:27:01
2264,,1703,2025-07-02T22:27:01
2265,,1703,2025-07-02T22:27:01
2266,,1703,2025-07-02T22:27:01
2267,,1703,2025-07-02T22:27:01
2268,,1703,2025-07-02T22:27:01
2388,,2229,2025-07-02T22:33:49
2389,,2229,2025-07-02T22:33:49
2390,,2229,2025-07-02T22:33:49
2391,,2229,2025-07-02T22:33:49
2392,,2229,2025-07-02T22:33:49
2393,,2195,2025-07-02T22:32:47
2394,,2195,2025-07-02T22:32:47
2395,,2195,2025-07-02T22:32:47
2396,,2195,2025-07-02T22:32:47
2397,,2195,2025-07-02T22:32:47
2398,,2195,2025-07-02T22:32:47
2399,,2195,2025-07-02T22:32:47
2400,,2195,2025-07-02T22:32:47
2405,,2197,2025-07-02T22:33:29
2406,,2197,2025-07-02T22:33:29
2407,,2197,2025-07-02T22:33:29
2408,,2197,2025-07-02T22:33:29
2409,,2197,2025-07-02T22:33:29
2410,,2197,2025-07-02T22:33:29
2411,,2197,2025-07-02T22:33:29
2412,,2197,2025-07-02T22:33:29
2413,,2197,2025-07-02T22:33:29
2414,,2197,2025-07-02T22:33:29
